mark,model,description,model_id
LAND-ROVER,Range Rover Evoque,2.0 P 200ch Flex Fuel R-Dynamic HSE AWD BVA Mark III,1829
DS,Ds 3,PureTech 110ch Performance Line Automatique,1830
PORSCHE,911 Coupe,3.0 385ch PDK,1831
TOYOTA,Aygo,1.0 VVT-i 69ch x 5p,1832
RENAULT,Master,F3500 L3H2 2.3 dCi 135ch Cabine Approfondie Grand Confort Euro6,1833
OPEL,Corsa,1.2 Turbo 100ch Edition BVA,1834
RENAULT,Captur,1.3 TCe mild hybrid 160ch Iconic EDC,1835
PEUGEOT,308,1.2 PureTech 130ch S&S Allure,1836
PEUGEOT,3008,1.6 BlueHDi 120ch GT Line S&S EAT6,1837
RENAULT,Clio,1.0 TCe 100 Intens GPL Carplay 22200Kms Gtie 1an,1838
CITROEN,C5 Aircross,BlueHDi 180ch S&S Shine EAT8,1839
AUDI,A1 Sportback,35 TFSI 150ch Avus S tronic 7,1840
DS,Ds 3 Crossback,BlueHDi 130ch Grand Chic Automatique 7cv,1841
AUDI,A4 Avant,35 TDI 163ch Design S tronic 7 9cv,1842
MINI,Clubman,John Cooper Works 306ch Ultimate BVA8,1843
ALFA ROMEO,Stelvio,2.2 Diesel 210ch Sport Edition Q4 AT8 MY19,1844
PEUGEOT,5008,1.2 PureTech 130ch S&S GT EAT8,1845
PEUGEOT,308 Sw,1.2 PureTech 130ch E6.c S&S GT Line EAT8,1846
CITROEN,C5 X,PureTech 130ch S&S Feel EAT8,1847
DS,Ds 7,E-TENSE 225ch Performance Line +,1848
MINI,Countryman,Cooper D 150ch Chili BVA,1849
PEUGEOT,308,1.2 PureTech 130ch S&S GT Pack,1850
BMW,X1,sDrive18iA 140ch Lounge DKG7,1851
ALPINE,A110,1.8T 300ch GT,1852
BMW,M4 Coupe,M4 450ch Pack Competition DKG,1853
VOLKSWAGEN,Id.3,204ch - 58 kWh Life,1854
PEUGEOT,2008,1.2 PureTech 82ch E6.c Signature S&S,1855
TOYOTA,Yaris,116h Collection 5p,1856
NISSAN,Leaf,150ch 40kWh N-Connecta 19,1857
RENAULT,Talisman Estate,1.5 dCi 110ch energy Zen,1858
MERCEDES,Classe A Berline,200 d 150ch AMG Line 8G-DCT 8cv,1859
NISSAN,Qashqai,e-POWER 190ch N-Connecta 2022,1860
VOLKSWAGEN,T-Roc,1.0 TSI 115ch Lounge Euro6d-T,1861
RENAULT,Megane,E-Tech Electric EV60 220ch Iconic optimum charge -B,1862
NISSAN,Qashqai,1.5 dCi 115ch Tekna+ 2019 Euro6-EVAP,1863
DACIA,Jogger,1.0 TCe 110ch SL Extreme+ 7 places,1864
MINI,Countryman,C 170ch JCW DKG7,1865
MASERATI,Ghibli,3.0 V6 430ch S Q4 GranSport,1866
MERCEDES,Classe B,250 e 160+102ch Business Line Edition 8G-DCT,1867
VOLKSWAGEN,Golf,1.6 TDI 115ch BlueMotion Technology FAP Carat DSG7 5p,1868
PEUGEOT,Partner,M 650kg BlueHDi 100ch S&S,1869
DS,Ds 5,THP 200ch Sport Chic,1870
CITROEN,C3,PureTech 110ch ELLE S&S EAT6,1871
SUZUKI,Ignis,1.2 Dualjet Hybrid 83ch Privilège,1872
VOLKSWAGEN,Cross Polo,1.2 TSI 90ch 5p,1873
BMW,Serie 5,i5 eDrive40 340ch M Sport,1874
FORD,Mondeo Sw,2.0 TDCi 150ch Executive PowerShift,1875
LEXUS,Ct,200h Euro6d-T,1876
RENAULT,Trafic,L2H1 3T 2.0 Blue dCi 130ch Grand Confort,1877
VOLKSWAGEN,Touran,2.0 TDI 150ch Life Plus DSG7 7 places,1878
MERCEDES,Classe A,180 d 116ch AMG Line Edition 1 7G-DCT,1879
DACIA,Jogger,1.0 ECO-G 100ch SL Extreme+ 7 places,1880
RENAULT,Kadjar,1.5 Blue dCi 115ch Intens 135g,1881
PEUGEOT,Rifter,1.2 PureTech 110ch S&S Long Active,1882
TOYOTA,Yaris,HSD 100h Dynamic 5p,1883
VOLKSWAGEN,Golf,2.0 TSI 310ch R 4Motion DSG7 3p,1884
KIA,Picanto,1.0 67ch Active Euro6d-T,1885
MERCEDES,Gle,400 d 330ch AMG Line 4Matic 9G-Tronic,1886
CITROEN,C5 Aircross,PureTech 130ch S&S Shine Pack EAT8 E6.d,1887
LAND-ROVER,Range Rover Evoque,2.2 SD4 Prestige BVA,1888
RENAULT,Captur,1.6 E-Tech hybride 145ch Iconic,1889
BMW,X1,sDrive18i 140ch Business Design Euro6d-T,1890
KIA,E-Niro,Active 204ch,1891
PEUGEOT,Partner,M 800kg Electrique 136ch Batterie 50 kWh,1892
CITROEN,C3,1.6 BlueHDi 100ch S&S Feel Nav E6.d-TEMP,1893
RENAULT,Captur,0.9 TCe 90ch energy Intens Euro6c,1894
RENAULT,Megane,1.6 E-Tech Plug-in 160ch RS Line -21N,1895
MERCEDES,Classe A,180 d 116ch AMG Line 7G-DCT,1896
RENAULT,Kadjar,1.3 TCe 140ch FAP Intens EDC,1897
DS,Ds 5,THP 165ch Sport Chic S&S EAT6,1898
BMW,Serie 1,118d 150ch Business Design,1899
MERCEDES,Classe A,45 AMG 421ch S 4Matic+ 8G-DCT Speedshift AMG,1900
FORD,Focus,1.5 EcoBoost 182ch Stop&Start Titanium,1901
MERCEDES,Sprinter,315 CDI 37 3T5 Pro Propulsion,1902
NISSAN,Leaf,150ch 40kWh Tekna 2018,1903
MERCEDES,Glb,200d 150ch Progressive Line 8G DCT,1904
RENAULT,Captur,1.0 TCe 100ch Intens GPL,1905
OPEL,Crossland X,1.2 Turbo 110ch Elegance,1906
DS,Ds 3 Crossback,BlueHDi 130ch Performance Line Automatique,1907
CITROEN,Berlingo,M PureTech 110ch S&S Shine,1908
CITROEN,C5 X,Hybride rechargeable 225ch Feel Business ëEAT8,1909
VOLKSWAGEN,Transporter,3.0T L1H1 2.0 TDI 204ch Procab Edition 4Motion DSG7,1910
LEXUS,Nx,350h 2WD Luxe,1911
ASTON MARTIN,V8 Vantage,V8 4.0 510ch BVA,1912
PEUGEOT,3008,1.5 BlueHDi 130ch E6.c Crossway S&S 6cv,1913
TOYOTA,Aygo X,1.0 VVT-i 72ch Dynamic MY23,1914
BMW,Serie 4 Gran Coupe,430dA xDrive 258ch M Sport,1915
VOLKSWAGEN,Tiguan,1.5 TSI 150ch R-Line DSG7,1916
RENAULT,Zoe,E-Tech Business charge normale R110 Achat Intégral - 21,1917
FORD,Transit Connect,L2 1.0E 100ch E85 Limited,1918
TOYOTA,Yaris Cross,116h Collection MY21,1919
SUZUKI,Vitara,1.5 Dualjet Hybrid 102ch Privilège Auto,1920
TOYOTA,C-Hr,122h Dynamic 2WD E-CVT MY22,1921
DACIA,Sandero,1.0 TCe 90ch Essential,1922
MERCEDES,Classe B,180 122ch Inspiration,1923
RENAULT,Kadjar,1.3 TCe 140ch FAP Intens,1924
AUDI,Q3,40 TFSI 190ch Design Luxe quattro S tronic 7,1925
VOLKSWAGEN,Polo,1.0 80ch Edition 2021 Euro6dT,1926
MINI,Mini,Cooper SE 184ch Edition Camden BVA,1927
NISSAN,Qashqai,1.6L DIG-T 163ch N-Connecta,1928
RENAULT,Captur,1.3 TCe 130ch FAP Initiale Paris,1929
DACIA,Sandero,1.5 Blue dCi 75ch Essentiel - 20,1930
RENAULT,Twingo,Electric Zen R80 Achat Intégral 3CV,1931
MERCEDES,Classe C,63 AMG S 680ch E Performance 4Matic+,1932
RENAULT,Megane Estate,1.3 TCe 140ch Intens EDC -21N,1933
RENAULT,Megane Estate,1.6 E-Tech Plug-in 160ch RS Line,1934
LEXUS,Ux,250h 2WD Luxe Plus MY22,1935
BMW,Serie 2 Active Tourer,218dA 150ch Business,1936
KIA,Picanto,1.0 67ch GT Line Euro6d-T,1937
MERCEDES,Cla Shooting Brake,250 e 218ch AMG Line 8G-DCT,1938
NISSAN,Juke,1.0 DIG-T 117ch N-Design DCT,1939
PEUGEOT,208,1.2 PureTech 75ch S&S Active Business 118g,1940
CITROEN,C4 Cactus,PureTech 110ch S&S Shine Business E6.d-TEMP,1941
VOLKSWAGEN,Arteon,2.0 TDI 150ch R-line Exclusive Euro6d-T,1942
PEUGEOT,2008,1.5 BlueHDi 110ch S&S Active Pack,1943
FORD,Transit Custom,320 L1H1 2.0 EcoBlue 170ch Limited BVA8 Cabine approfondie,1944
PEUGEOT,208,1.2 PureTech 75ch S&S Premium Pack,1945
CITROEN,C-Elysee,PureTech 82ch Live E6.d-TEMP,1946
SEAT,Arona,1.6 TDI 95ch Start/Stop Xcellence Euro6d-T,1947
VOLKSWAGEN,Polo,2.0 TSI 200ch GTI DSG6 Euro6d-T,1948
RENAULT,Twingo,1.0 SCe 65ch Life,1949
BMW,Serie 2 Coupe,220dA xDrive 190ch M Sport,1950
VOLVO,C40,Recharge Extended Range 252ch Ultimate,1951
RENAULT,Megane,1.2 TCe 130ch energy Intens EDC Pack GT,1952
RENAULT,Captur,0.9 TCe 90ch Sunset - 19,1953
DS,Ds 3 Crossback,PureTech 130ch Performance Line + Automatique 7cv,1954
BMW,Serie 1,120iA 178ch Edition Sport DKG7 9cv,1955
MERCEDES,Eqe,350 292ch AMG Line,1956
VOLKSWAGEN,T-Cross,1.0 TSI 115ch R-Line DSG7,1957
DS,Ds 3 Crossback,PureTech 155ch Grand Chic Automatique 114g,1958
FIAT,Panda,0.9 8v TwinAir 85ch S&S City Cross Euro6D,1959
NISSAN,Juke,1.6 Hybrid 143ch N-Design 2023,1960
PEUGEOT,2008,1.2 PureTech 130ch Crossway S&S,1961
RENAULT,Trafic,L2H1 1300 2.0 dCi 120ch Grand Confort E6,1962
PEUGEOT,408,PHEV 180ch Allure Pack e-EAT8,1963
NISSAN,Juke,1.0 DIG-T 114 ch N-Design 2021.5 EU6d Full BVM+ Pack Techno,1964
MERCEDES,Glc,220 d 170ch Sportline 4Matic 9G-Tronic,1965
RENAULT,Zoe,Intens charge rapide,1966
CITROEN,C4 X,PureTech 130ch S&S Shine EAT8,1967
TOYOTA,Auris Touring Sports,HSD 136h Dynamic Business,1968
CITROEN,C5 Aircross,BlueHDi 130ch S&S Feel Pack EAT8,1969
CITROEN,C4,1.2 PureTech 130ch Dynamic S&S,1970
CITROEN,Berlingo,M BlueHDi 100ch Live,1971
PEUGEOT,308 Sw,1.2 PureTech 110ch Style S&S,1972
NISSAN,Juke,1.0 DIG-T 114ch Acenta DCT 2021,1973
RENAULT,Clio,1.6 E-Tech 145ch full hybrid esprit Alpine,1974
RENAULT,Clio,0.9 TCe 90ch energy Zen 5p,1975
FORD,Bronco,2.7 V6 EcoBoost 335ch Badlands Powershift,1976
BMW,Serie 3 Touring,330eA 292ch M Sport,1977
AUDI,Q5,40 TDI 190ch quattro S tronic 7 Euro6d-T,1978
TOYOTA,C-Hr,2.0 200ch GR Sport Premiere AWD-i,1979
RENAULT,Clio,0.9 TCe 90ch energy Edition One 5p,1980
RENAULT,Twingo,0.9 TCe 95ch Intens EDC - 20,1981
PEUGEOT,3008,1.2 PureTech 130ch S&S Style,1982
NISSAN,X-Trail,e-Power 204ch Tekna,1983
FORD,Focus Active,1.0 Flexifuel mHEV 125ch Active X,1984
AUDI,Q2,35 TDI 150ch S line plus S tronic 7,1985
DACIA,Sandero,1.0 ECO-G 100ch Confort,1986
CITROEN,C3 Aircross,PureTech 110ch S&S Shine E6.d 6cv,1987
SUZUKI,Vitara,1.4 Boosterjet Hybrid 129ch Style Allgrip,1988
CITROEN,C5 Aircross,Hybrid 225ch Business + e-EAT8,1989
NISSAN,Juke,1.2 DIG-T 115ch Acenta,1990
CITROEN,C3 Aircross,PureTech 130ch S&S Shine EAT6,1991
PEUGEOT,308,1.2 PureTech 110ch E6.c S&S Style,1992
RENAULT,Kadjar,1.5 dCi 110ch energy Intens EDC eco²,1993
VOLKSWAGEN,Tiguan,2.0 TDI 150ch Carat Exclusive 4Motion,1994
PEUGEOT,Expert,XL 2.0 BlueHDi 145ch,1995
BMW,X1,sDrive16dA 116ch Sport DKG7 Euro6d-T,1996
AUDI,Q2,35 TFSI 150ch S line,1997
TOYOTA,Rav4,2.5 Hybride 218ch Dynamic 2WD MY22,1998
OPEL,Astra,1.2 Turbo 130ch GS,1999
PEUGEOT,308,1.5 BlueHDi 100ch S&S Premium Pack,2000
RENAULT,Megane Estate,1.3 TCe 160ch FAP RS Line EDC,2001
MERCEDES,Glc Coupe,300 de 197+136ch AMG Line 4Matic 9G-Tronic,2002
DACIA,Duster,1.0 ECO-G 100ch Journey 4x2,2003
FIAT,500c,1.0 70ch BSG S&S Lounge,2004
CITROEN,C4 Cactus,PureTech 82 Shine,2005
AUDI,Q4 E-Tron,50 e-tron 299ch quattro S line,2006
KIA,Picanto,1.2 DPi 84ch GT Line,2007
SEAT,Arona,1.0 EcoTSI 115ch Start/Stop Xcellence,2008
VOLVO,Xc40,D4 AdBlue AWD 190ch R-Design Geartronic 8,2009
MERCEDES,Classe C,200 d 163ch AMG Line,2010
DACIA,Sandero,1.0 SCe 75ch Lauréate 4cv,2011
PEUGEOT,508,BlueHDi 130ch S&S Active Business EAT8,2012
RENAULT,Trafic,L1H1 1000 2.0 dCi 120ch Grand Confort E6,2013
VOLKSWAGEN,Golf,2.0 TSI 270ch R 4Motion 5p,2014
NISSAN,Qashqai,1.3 DIG-T 140ch Tekna 2019 Euro6-EVAP,2015
TOYOTA,Proace City Verso,Medium 1.5 130 D-4D BVA Dynamic RC23,2016
NISSAN,Qashqai,Qashqai e-POWER 190ch - 2WD TEKNA Pack Design + Pack Hiver + Bi-ton + RS,2017
MERCEDES,Classe A,180d 116ch Style Line,2018
MERCEDES,Sprinter,314 CDI 39S 3T5 Traction,2019
KIA,Rio,1.2 DPi 84ch Motion,2020
KIA,E-Niro,Motion 204ch,2021
VOLKSWAGEN,Tiguan,2.0 TDI 150ch Carat DSG7,2022
OPEL,Crossland X,1.2 Turbo 110ch ECOTEC Innovation,2023
RENAULT,Captur,1.0 TCe 100ch Zen GPL - 21,2024
TOYOTA,Rav4,Hybride 222ch Black Edition AWD-i MY21,2025
MERCEDES,Classe C Break,63 AMG S 680ch E Performance 4Matic+,2026
MERCEDES,Classe C Coupe,200 184ch AMG Line 9G Tronic,2027
BMW,Serie 4 Gran Coupe,420dA xDrive 190ch M Sport,2028
AUDI,Tt,40 TFSI 197ch S line Stronic 7,2029
VOLVO,Xc90,T8 AWD 303 + 87ch Inscription Luxe Geartronic,2030
RENAULT,Zoe,Edition One R110 MY18,2031
DACIA,Sandero,1.0 TCe 90ch Stepway Essentiel -22,2032
HYUNDAI,Ioniq,Electric 120ch Creative,2033
CITROEN,C4 Spacetourer,PureTech 130ch S&S Feel E6.d-TEMP,2034
RENAULT,Captur,1.5 Blue dCi 115ch Initiale Paris EDC,2035
FORD,Puma,1.0 EcoBoost 155ch S&S mHEV ST-Line X Powershift,2036
VOLKSWAGEN,Polo,1.0 TSI 95ch Life DSG7,2037
RENAULT,Master,F3500 L2H2 2.3 Blue dCi 135ch Grand Confort Euro6E,2038
TOYOTA,Proace City Verso,Medium Electric 50kWh Executive,2039
JEEP,Renegade,1.6 MultiJet 120ch Quiksilver,2040
PORSCHE,Cayman,3.8 385ch GT4,2041
CITROEN,C4 Cactus,PureTech 110 Rip Curl S&S,2042
RENAULT,Zoe,Edition One charge normale R135,2043
PEUGEOT,208,1.2 PureTech 100ch S&S Active EAT8,2044
BMW,Serie 2 Gran Coupe,220dA 190ch M Sport,2045
OPEL,Corsa,Corsa-e 136ch Edition,2046
MERCEDES,Gle Coupe,350 de 194+136ch AMG Line 4Matic 9G-Tronic,2047
PEUGEOT,308 Sw,1.6 BlueHDi 120ch GT Line S&S EAT6,2048
MINI,Clubman,Cooper D 150ch Kensington,2049
BMW,Serie 4 Coupe,430dA xDrive 286ch M Sport,2050
MERCEDES,Gla,200 Fascination 7G-DCT,2051
BMW,X2,sDrive18iA 136ch M Sport X DKG7,2052
RENAULT,Clio,1.5 dCi 75ch energy Zen 5p,2053
DACIA,Sandero,1.0 ECO-G 100ch Stepway Expression,2054
CITROEN,C4,PureTech 100ch S&S Live,2055
BMW,X3,xDrive30eA 292ch Luxury 10cv,2056
MERCEDES,Glc Coupe,400 e 252+136ch AMG Line 4Matic 9G-Tronic,2057
PEUGEOT,Expert,M 100 kW Batterie 75 kWh Pack Asphalt,2058
TOYOTA,Aygo,1.0 VVT-i 72ch x-play 5p,2059
VOLKSWAGEN,Arteon,1.4 TSI eHybrid OPF 218ch R-Line DSG6,2060
DS,Ds 3 Crossback,BlueHDi 130ch Grand Chic Automatique 126g,2061
SKODA,Superb Combi,2.0 TDI 200ch SCR Sportline DSG7,2062
RENAULT,Clio,1.5 Blue dCi 115ch Intens 6cv,2063
CITROEN,C3,1.2 PureTech 110ch S&S Shine EAT6 137g,2064
LAND-ROVER,Defender,90 3.0 P400 X-Dynamic 75th Limited Edition,2065
OPEL,Astra,1.6 CDTI 136ch FAP Cosmo ecoFLEX Start&Stop,2066
VOLKSWAGEN,T-Roc,1.0 TSI 110ch United,2067
FORD,Fiesta,1.25 82ch Edition 5p,2068
AUDI,A3 Sportback,1.6 TDI 110ch FAP Ambiente,2069
RENAULT,Clio,1.6 E-Tech 140ch Intens -21,2070
RENAULT,Zoe,Intens charge normale Type 2 location batterie,2071
BMW,X2,sDrive18dA 150ch M Sport Euro6d-T 118g,2072
RENAULT,Captur,1.6 E-Tech hybride 145ch Rive Gauche,2073
PEUGEOT,208,1.5 BlueHDi 100ch E6.c Active BVM5 86g 5p,2074
RENAULT,Clio,1.0 TCe 100ch Business GPL -21N,2075
PEUGEOT,208,1.5 BlueHDi 100ch S&S Active Business,2076
LAND-ROVER,Range Rover Evoque,1.5 P300e 309ch R-Dynamic S AWD BVA Mark III,2077
MINI,Mini,Cooper S 178ch Yours,2078
HYUNDAI,Ioniq,58 kWh - 170ch Intuitive,2079
CITROEN,C3 Aircross,BlueHDi 100ch S&S Shine E6.d-TEMP,2080
LEXUS,Nx,300h 4WD Luxe MY20,2081
KIA,E-Soul,136ch Motion,2082
MERCEDES,Classe G,63 AMG Break Long 7G-Tronic Speedshift +,2083
CITROEN,C3,1.5 BlueHDi 100ch S&S PLUS,2084
MERCEDES,Classe C,200 d 2.2 Executive 9G-Tronic,2085
BMW,X4,xDrive20dA 190ch M Sport,2086
AUDI,A1 Sportback,25 TFSI 95ch S line S tronic 7,2087
RENAULT,Kadjar,1.5 dCi 110ch energy Business EDC eco²,2088
HYUNDAI,Tucson,1.7 CRDI 115ch Executive 2WD,2089
OPEL,Crossland X,1.2 Turbo 130ch Innovation,2090
CITROEN,C3,1.5 BlueHDi 100ch S&S BVM 6 Feel Nav,2091
NISSAN,Townstar,L1 EV 45 kWh N-Connecta chargeur 22 kW,2092
VOLKSWAGEN,T-Cross,1.0 TSI 95ch Lounge Business,2093
CITROEN,C3 Aircross,BlueHDi 110ch S&S Feel,2094
BMW,Serie 2 Active Tourer,225e 245ch xDrive M Sport DKG7,2095
RENAULT,Zoe,Intens R90,2096
MINI,Cabrio,John Cooper Works 231ch Exclusive Design BVAS,2097
NISSAN,Qashqai,1.3 Mild Hybrid 140ch TEKNA 2021+ Jantes 19'' + Pack Design,2098
NISSAN,Nv300,L1H1 2t8 2.0 dCi 145ch S/S Optima,2099
MAZDA,Cx-5,2.2 SKYACTIV-D 150 Dynamique 4x2,2100
DS,Ds 3 Crossback,PureTech 130ch Performance Line Automatique,2101
RENAULT,Megane,E-Tech Electric EV60 220ch Techno super charge -C,2102
CITROEN,C5 Aircross,PureTech 130ch S&S C-Series EAT8 E6.d,2103
LAND-ROVER,Range Rover Velar,2.0 P400e 404ch PHEV Dynamic SE AWD BVA,2104
VOLKSWAGEN,T-Cross,1.5 TSI 150ch R-Line DSG7,2105
DACIA,Sandero,1.0 TCe 90ch Confort -22,2106
RENAULT,Zoe,Intens charge normale R135 Achat Intégral,2107
RENAULT,Twingo,1.0 SCe 70ch Limited 2017 Boîte Courte,2108
NISSAN,Juke,N-CONNECTA DIG-T 114 EU6d Full BVM + Jantes 19'' ECO,2109
FORD,Puma,1.0 EcoBoost 125ch mHEV Titanium X 6cv,2110
RENAULT,Megane,1.6 TCe 205 GT EDC Bose Alcantara 82200Kms Gtie 1an,2111
PEUGEOT,3008,HYBRID 225ch GT Pack e-EAT8,2112
OPEL,Vivaro,L3 Augmenté 2.0 D 145ch Pack Clim,2113
RENAULT,Koleos,2.0 dCi 175ch energy Initiale Paris 4x4 X-Tronic,2114
JAGUAR,F-Type Coupe,2.0T 300ch BVA8,2115
MERCEDES,Glc Coupe,220 d 194ch Business Line 4Matic 9G-Tronic,2116
KIA,Rio,1.0 T-GDI 120ch ISG GT Line,2117
JEEP,Renegade,1.3 GSE T4 240ch 4xe Trailhawk AT6,2118
TOYOTA,Yaris,120 VVT-i Dynamic 5p MY21,2119
RENAULT,Kadjar,1.5 Blue dCi 115ch Wave,2120
PEUGEOT,Boxer,330 L1H2 2.2 HDi 130 Pack Clim,2121
RENAULT,Zoe,Zen charge normale R110 Achat Intégral 4cv,2122
MINI,Countryman,Cooper SE 136ch + 88ch Longstone ALL4 BVA6,2123
BMW,Serie 3 Touring,330eA xDrive 292ch Luxury,2124
NISSAN,Juke,1.0 DIG-T 117ch Tekna DCT,2125
PEUGEOT,5008,1.5 BlueHDi 130ch E6.c Allure S&S,2126
CITROEN,C4 Picasso,PureTech 130ch Feel S&S,2127
NISSAN,Juke,1.2 DIG-T 115ch N-Connecta,2128
DS,Ds 3,PureTech 130ch Performance Line Automatique,2129
TOYOTA,Corolla,184h GR Sport MY20,2130
FIAT,500,1.0 70ch Hybride BSG S&S DOLCEVITA,2131
RENAULT,Zoe,Life charge normale R110 Achat Intégral 4cv,2132
VOLVO,Xc40,B3 163ch Plus DCT 7,2133
MERCEDES,Vito,eVito 116ch Long,2134
PEUGEOT,308,1.2 PureTech 130ch S&S GT Line EAT6,2135
TOYOTA,Aygo,1.0 VVT-i 69ch x-play X-APP 3p,2136
RENAULT,Trafic Combi,L2 1.6 dCi 95ch Stop&Start Zen 8 places,2137
DACIA,Sandero,1.0 SCe 65ch Confort,2138
BMW,Serie 5,545eA xDrive 394ch M Sport Steptronic,2139
VOLVO,Xc60,B4 197ch Inscription Luxe Geartronic,2140
OPEL,Grandland X,1.2 Turbo 130ch Edition,2141
RENAULT,Zoe,Edition One R110 MY19,2142
LEXUS,Ux,250h 2WD F SPORT Design,2143
FORD,Transit Custom,320 L2H1 2.0 EcoBlue 136ch Trend,2144
FORD,Fiesta,1.0 EcoBoost 100ch Stop&Start ST-Line 5p,2145
PEUGEOT,308,1.2 PureTech 110ch S&S Allure Basse Consommation,2146
FORD,Transit 2t,T350 L2H2 2.0 EcoBlue 130ch S&S Hybrid Trend Business,2147
DACIA,Duster,1.3 TCe 130ch FAP Essentiel 4x2 - 19,2148
FORD,Kuga,2.0 EcoBlue 150ch mHEV ST-Line,2149
HYUNDAI,Tucson,1.7 CRDI 141ch Executive 2WD DCT-7,2150
KIA,Ceed,1.0 T-GDI 100ch Active,2151
RENAULT,Zoe,Life charge normale R75 - Achat intégral,2152
RENAULT,Captur,1.0 TCe 100ch Zen - 20,2153
VOLKSWAGEN,Polo,1.0 TSI 95ch Confortline,2154
MINI,Mini,Cooper D 116ch,2155
DACIA,Sandero,1.0 SCe 75ch Access - 19,2156
MAZDA,Cx-3,2.0 SKYACTIV-G 150 Exclusive Edition AWD BVA,2157
RENAULT,Megane Estate,1.5 Blue dCi 115ch Business -21B,2158
BMW,Serie 2 Gran Coupe,218iA 136ch M Sport DKG7,2159
BMW,Serie 2 Gran Coupe,216dA 116ch,2160
PEUGEOT,2008,1.6 VTi Féline Titane,2161
PEUGEOT,2008,e-2008 136ch Active Business,2162
FIAT,500,1.2 8v 69ch S&S Lounge 113g Dualogic,2163
BMW,Serie 7,745eA 394ch M Sport 17cv,2164
RENAULT,Megane,1.2 TCe 130ch energy Zen,2165
JAGUAR,E-Pace,P300e PHEV R-Dynamic S BVA AWD,2166
VOLKSWAGEN,Transporter,2.8T L1H1 2.0 TDI 102ch,2167
HYUNDAI,I30,1.0 T-GDi 120ch Edition Navi Euro6d-T,2168
PEUGEOT,3008,1.2 PureTech 130ch S&S GT Line,2169
RENAULT,Master,F3300 L2H2 2.3 Blue dCi 135ch Grand Confort Euro6,2170
RENAULT,Zoe,Life charge normale R90 MY19,2171
NISSAN,Qashqai,e-POWER 190ch Tekna 2022,2172
DS,Ds 3 Crossback,E-Tense Connected Chic,2173
CITROEN,C4 Picasso,PureTech 130ch Feel S&S EAT6,2174
VOLKSWAGEN,Golf,1.5 eTSI OPF 130ch Style DSG7,2175
BMW,Serie 1,116d 116ch Lounge,2176
OPEL,Mokka,1.4 Turbo 140ch Edition Start&Stop 4x2,2177
CITROEN,C4 Picasso,BlueHDi 120ch Shine S&S,2178
AUDI,A4 Avant,40 TFSI 204ch S Edition S tronic 7,2179
CITROEN,C3 Aircross,PureTech 110ch S&S Live E6.d 6cv,2180
MERCEDES,Glc,300 d 245ch AMG Line 4Matic 9G-Tronic,2181
RENAULT,Megane,E-Tech Electric EV60 130ch Evolution ER super charge -C,2182
RENAULT,Clio,1.6 E-Tech 140ch Limited,2183
RENAULT,Megane,1.3 TCe 140ch energy Intens EDC,2184
KIA,Pro Ceed,1.5 T-GDI 160ch GT Line Premium DCT7,2185
PEUGEOT,308,1.2 PureTech 110ch E6.c S&S Tech Edition,2186
PEUGEOT,3008,1.2 PureTech 130ch Allure Business S&S EAT8 109g,2187
FORD,Fiesta Active,1.0 EcoBoost 125ch S&S Pack Euro6.2,2188
BMW,X5,xDrive30dA 258ch xLine,2189
RENAULT,Megane,1.3 TCe 160ch FAP Intens EDC,2190
RENAULT,Clio,1.0 SCe 75ch Zen,2191
AUDI,Q2,35 TDI 150ch S line Plus S tronic 7,2192
RENAULT,Zoe,Intens charge normale R90,2193
PEUGEOT,208,1.2 PureTech 100ch S&S GT BVM6,2194
CITROEN,Berlingo,M BlueHDi 100ch S&S Feel,2195
MINI,Countryman,Cooper SE 136ch + 88ch Exquisite ALL4 BVA,2196
LEXUS,Nx,300h 4WD F SPORT Executive,2197
SUZUKI,Swace,1.8 Hybrid 122ch Pack,2198
PEUGEOT,508 Sw,BlueHDi 130ch S&S GT EAT8,2199
PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure Business S&S,2200
SKODA,Scala,1.5 TSI 150ch Business DSG7,2201
MINI,Mini,One 102ch Salt,2202
RENAULT,Kangoo Van,L1 1.5 Blue dCi 75ch Grand Confort - 22,2203
AUDI,Q3 Sportback,35 TDI 150ch S line S tronic 7,2204
CITROEN,Berlingo Van,M 650kg BlueHDi 100 S&S Club BVM5,2205
VOLVO,S60,T6 AWD 253+145ch Plus Style Dark Geartronic 8,2206
SUZUKI,S-Cross,1.5 Dualjet Hybrid 102ch Privilège Auto,2207
CITROEN,C5 Aircross,Hybrid 225ch Shine Pack e-EAT8,2208
VOLVO,Xc60,B4 AdBlue AWD 197ch Inscription Luxe Geartronic,2209
RENAULT,Zoe,Life charge normale R110 Achat Intégral,2210
BMW,Serie 2 Active Tourer,218dA 150ch Business Design,2211
BMW,Serie 2 Gran Coupe,218dA 150ch M Sport BVA8,2212
VOLKSWAGEN,Id. Buzz,204ch Pro 77 kWh,2213
AUDI,Q2,35 TDI 150ch Advanced S tronic 7,2214
NISSAN,Micra,1.0 IG-T 92ch Tekna 2021,2215
RENAULT,Megane Estate,1.3 TCe 140ch FAP Limited 142g,2216
BMW,X3,xDrive20d 190ch xLine,2217
RENAULT,Zoe,E-Tech Evolution charge normale R110 - MY22,2218
NISSAN,Micra,1.0 IG-T 92ch Made in France 2021 + Roue de secours,2219
